player,during_hot,next_game_stat,regression,next_opp,next_location,opp_def_tier,opp_3p_pct_allowed,opp_pace,minutes_trend,was_blowout_recent
Donte DiVincenzo,5.333333333333333,3.0,2.333333333333333,MIA,away,Mid (11-20),0.36,97.08,1.446236559139784,True
Dorian Finney-Smith,4.0,1.0,3.0,PHI,away,Bad (21-30),0.378,98.13,0.12698412698412653,True
Dorian Finney-Smith,3.6666666666666665,2.0,1.6666666666666665,CLE,home,Mid (11-20),0.359,100.31,2.1269841269841265,True
Duncan Robinson,4.333333333333333,3.0,1.333333333333333,MIL,away,Elite (top 10),0.353,99.92,5.851351351351351,False
Duncan Robinson,4.666666666666667,3.0,1.666666666666667,BKN,away,Mid (11-20),0.362,96.73,6.518018018018019,True
Eric Gordon,3.0,3.0,0.0,OKC,home,Elite (top 10),0.342,100.9,4.9743589743589745,False
Eric Gordon,3.0,1.0,2.0,IND,away,Elite (top 10),0.355,100.76,5.9743589743589745,False
Eric Gordon,3.0,3.0,0.0,CHI,away,Elite (top 10),0.344,103.61,9.307692307692307,False
Eric Gordon,3.3333333333333335,3.0,0.3333333333333335,LAL,home,Elite (top 10),0.356,98.34,8.974358974358974,False
Eric Gordon,3.3333333333333335,3.0,0.3333333333333335,SAC,home,Bad (21-30),0.381,98.91,12.974358974358971,True
Eric Gordon,3.0,3.0,0.0,DEN,home,Bad (21-30),0.365,100.67,7.641025641025639,False
Eric Gordon,3.0,1.0,2.0,MIA,home,Mid (11-20),0.36,97.08,7.641025641025639,False
Evan Mobley,3.3333333333333335,0.0,3.3333333333333335,MIA,away,Mid (11-20),0.36,97.08,1.7699530516431956,True
Evan Mobley,3.0,1.0,2.0,BKN,away,Mid (11-20),0.362,96.73,-4.56338028169014,False
Evan Mobley,2.6666666666666665,1.0,1.6666666666666665,GSW,away,Mid (11-20),0.363,99.37,1.1032863849765278,False
Evan Mobley,2.6666666666666665,2.0,0.6666666666666665,LAL,away,Elite (top 10),0.356,98.34,-0.5633802816901401,False
Evan Mobley,2.6666666666666665,0.0,2.6666666666666665,SAC,home,Bad (21-30),0.381,98.91,4.103286384976524,False
Gabe Vincent,4.0,2.0,2.0,IND,home,Elite (top 10),0.355,100.76,2.805555555555557,False
Gabe Vincent,3.6666666666666665,3.0,0.6666666666666665,UTA,home,Mid (11-20),0.358,100.85,4.472222222222225,False
Gabe Vincent,3.3333333333333335,2.0,1.3333333333333335,CHA,home,Elite (top 10),0.355,98.22,3.1388888888888893,True
Gabe Vincent,3.3333333333333335,0.0,3.3333333333333335,MIL,away,Elite (top 10),0.353,99.92,4.472222222222225,False
Gabe Vincent,3.3333333333333335,2.0,1.3333333333333335,MIL,home,Elite (top 10),0.353,99.92,4.805555555555557,False
Gabe Vincent,4.0,1.0,3.0,GSW,home,Mid (11-20),0.363,99.37,-0.8611111111111107,False
Gabe Vincent,3.6666666666666665,1.0,2.6666666666666665,NOP,home,Bad (21-30),0.365,99.77,0.13888888888888928,False
Garrison Mathews,4.333333333333333,3.0,1.333333333333333,NOP,away,Bad (21-30),0.365,99.77,7.964539007092199,False
Garrison Mathews,4.0,2.0,2.0,BOS,home,Elite (top 10),0.347,96.59,6.631205673758863,False
Garrison Mathews,4.0,2.0,2.0,NYK,home,Bad (21-30),0.367,97.64,7.631205673758863,False
Garrison Mathews,4.0,2.0,2.0,TOR,away,Elite (top 10),0.349,100.62,6.297872340425531,True
Gary Trent Jr.,4.333333333333333,4.0,0.33333333333333304,CHA,home,Elite (top 10),0.355,98.22,1.7657657657657637,False
Gary Trent Jr.,4.333333333333333,0.0,4.333333333333333,MIA,away,Mid (11-20),0.36,97.08,3.4324324324324316,False
Gary Trent Jr.,4.666666666666667,2.0,2.666666666666667,UTA,away,Mid (11-20),0.358,100.85,2.4324324324324316,False
Gary Trent Jr.,4.666666666666667,3.0,1.666666666666667,POR,away,Mid (11-20),0.361,99.51,3.7657657657657637,False
Gary Trent Jr.,5.0,1.0,4.0,GSW,home,Mid (11-20),0.363,99.37,3.7657657657657637,False
