player,during_hot,next_game_stat,regression,next_opp,next_location,opp_def_tier,opp_3p_pct_allowed,opp_pace,minutes_trend,was_blowout_recent,season_avg,your_fair_line,naive_line,actual_outcome,distance_to_yours,distance_to_naive,your_line_wins,volume_tier,minutes_trend_bucket
Cameron Payne,3.333333333333333,2.0,1.3333333333333337,DEN,away,Bad (21-30),0.365,100.67,11.541666666666668,False,1.29,1.29,3.333333333333333,2.0,0.71,1.333333333333333,True,Medium (3-5 3PA/g),Minutes UP (>+2)
Cameron Payne,2.6666666666666665,4.0,-1.3333333333333337,MIN,home,Elite (top 10),0.353,97.95,-3.458333333333334,False,1.29,1.29,2.6666666666666665,4.0,2.71,1.3333333333333335,False,Medium (3-5 3PA/g),Minutes DOWN (<-2)
Cameron Payne,2.6666666666666665,3.0,-0.3333333333333335,ATL,home,Bad (21-30),0.377,103.41,-3.791666666666666,False,1.29,1.29,2.6666666666666665,3.0,1.71,0.3333333333333335,False,Medium (3-5 3PA/g),Minutes DOWN (<-2)
Cameron Payne,3.0,0.0,3.0,BKN,away,Mid (11-20),0.362,96.73,-4.458333333333334,False,1.29,1.29,3.0,0.0,1.29,3.0,True,Medium (3-5 3PA/g),Minutes DOWN (<-2)
Caris LeVert,3.333333333333333,1.0,2.333333333333333,GSW,home,Mid (11-20),0.363,99.37,1.791666666666668,False,1.66,1.66,3.333333333333333,1.0,0.6599999999999999,2.333333333333333,True,Medium (3-5 3PA/g),Stable (±2)
Chet Holmgren,3.333333333333333,0.0,3.333333333333333,PHX,away,Bad (21-30),0.37,98.31,-0.4375,False,1.38,1.38,3.333333333333333,0.0,1.38,3.333333333333333,True,Medium (3-5 3PA/g),Stable (±2)
Chris Boucher,3.6666666666666665,3.0,0.6666666666666665,GSW,home,Mid (11-20),0.363,99.37,-0.2800000000000011,False,1.4,1.4,3.6666666666666665,3.0,1.6,0.6666666666666665,False,Medium (3-5 3PA/g),Stable (±2)
Chris Boucher,4.0,1.0,3.0,BOS,home,Elite (top 10),0.347,96.59,5.719999999999999,False,1.4,1.4,4.0,1.0,0.3999999999999999,3.0,True,Medium (3-5 3PA/g),Minutes UP (>+2)
Chris Boucher,3.0,1.0,2.0,WAS,away,Mid (11-20),0.364,101.82,1.7199999999999989,True,1.4,1.4,3.0,1.0,0.3999999999999999,2.0,True,Medium (3-5 3PA/g),Stable (±2)
Chris Paul,3.0,3.0,0.0,MIN,home,Elite (top 10),0.353,97.95,1.060975609756099,True,1.71,1.71,3.0,3.0,1.29,0.0,False,Medium (3-5 3PA/g),Stable (±2)
Chris Paul,3.0,2.0,1.0,LAC,away,Elite (top 10),0.35,98.24,2.394308943089431,False,1.71,1.71,3.0,2.0,0.29000000000000004,1.0,True,Medium (3-5 3PA/g),Minutes UP (>+2)
